state,StateName,WeekEndDate,Week,PositiveIncrease,PositivePercChange,DeathIncrease,DeathPercChange,TestIncrease,TestPercChange,HospIncrease,HospPercChange,PositiveCum,DeathCum,TestsCum,HospCum,Pos100k,Death100k,Tests100k,Hosp100k
MA,Massachusetts,2020-02-02,5,0,0,0,0,2,100,0,0,,,4,,-999999.0000000,-999999.0000000,.0575581,-999999.0000000
WA,Washington,2020-02-02,5,0,0,0,0,0,0,0,0,0,,0,,.0000000,-999999.0000000,.0000000,-999999.0000000
MA,Massachusetts,2020-02-09,6,0,0,0,0,7,250,0,0,,,11,,-999999.0000000,-999999.0000000,.1582847,-999999.0000000
WA,Washington,2020-02-09,6,0,0,0,0,0,0,0,0,0,,0,,.0000000,-999999.0000000,.0000000,-999999.0000000
MA,Massachusetts,2020-02-16,7,0,0,0,0,2,-71,0,0,,,13,,-999999.0000000,-999999.0000000,.1870637,-999999.0000000
WA,Washington,2020-02-16,7,0,0,0,0,0,0,0,0,0,,0,,.0000000,-999999.0000000,.0000000,-999999.0000000
MA,Massachusetts,2020-02-23,8,0,0,0,0,1,-50,0,0,,,14,,-999999.0000000,-999999.0000000,.2014533,-999999.0000000
NJ,New Jersey,2020-02-23,8,0,0,0,0,0,0,0,0,,0,0,,-999999.0000000,.0000000,.0000000,-999999.0000000
WA,Washington,2020-02-23,8,0,0,0,0,0,0,0,0,0,,0,,.0000000,-999999.0000000,.0000000,-999999.0000000
MA,Massachusetts,2020-03-01,9,0,0,0,0,5,400,0,0,,,23,,-999999.0000000,-999999.0000000,.3309589,-999999.0000000
NJ,New Jersey,2020-03-01,9,0,0,0,0,0,0,0,0,,0,0,,-999999.0000000,.0000000,.0000000,-999999.0000000
WA,Washington,2020-03-01,9,18,0,5,0,42,0,0,0,34,8,117,,.4464935,.1050573,1.5364628,-999999.0000000
IN,Indiana,2020-03-08,10,1,0,0,0,23,666,0,0,2,,33,,.0297079,-999999.0000000,.4901801,-999999.0000000
MA,Massachusetts,2020-03-08,10,0,0,0,0,232,4540,0,0,,,312,,-999999.0000000,-999999.0000000,4.4895297,-999999.0000000
NJ,New Jersey,2020-03-08,10,4,0,0,0,4,0,0,0,6,0,37,,.0675509,.0000000,.4165639,-999999.0000000
VA,Virginia,2020-03-08,10,0,0,0,0,10,400,0,0,2,,6462,,.0234315,-999999.0000000,75.7071714,-999999.0000000
WA,Washington,2020-03-08,10,238,1222,22,340,2050,4780,0,0,317,31,2632,,4.1628950,.4070970,34.5638474,-999999.0000000
AK,Alaska,2020-03-15,11,1,0,0,0,132,3200,0,0,1,0,144,,.1366970,.0000000,19.6843666,-999999.0000000
AL,Alabama,2020-03-15,11,6,0,0,0,28,0,0,0,12,0,40,,.2447389,.0000000,.8157963,-999999.0000000
AR,Arkansas,2020-03-15,11,12,0,0,0,71,0,0,0,16,,119,,.5301832,-999999.0000000,3.9432373,-999999.0000000
AZ,Arizona,2020-03-15,11,7,133,0,0,84,320,20,900,12,0,133,36,.1648642,.0000000,1.8272451,.4945927
CA,California,2020-03-15,11,183,1043,5,0,637,3881,0,0,293,5,1209,,.7415427,.0126543,3.0598127,-999999.0000000
CO,Colorado,2020-03-15,11,93,1450,1,0,333,0,0,0,131,1,525,,2.2748047,.0173649,9.1165839,-999999.0000000
CT,Connecticut,2020-03-15,11,11,0,0,0,136,0,0,0,20,,145,,.5609647,-999999.0000000,4.0669938,-999999.0000000
DC,Washington DC,2020-03-15,11,10,0,0,0,51,2450,0,0,16,,95,,,-999999.0000000,,-999999.0000000
DE,Delaware,2020-03-15,11,6,0,0,0,32,0,0,0,6,0,42,,.6161657,.0000000,4.3131601,-999999.0000000
FL,Florida,2020-03-15,11,63,425,3,0,441,401,0,0,116,4,794,,.5400941,.0186239,3.6968513,-999999.0000000
GA,Georgia,2020-03-15,11,60,1400,1,0,60,1400,0,0,99,1,99,,.9324296,.0094185,.9324296,-999999.0000000
HI,Hawaii,2020-03-15,11,1,0,0,0,21,320,0,0,2,,59,,.1412557,-999999.0000000,4.1670433,-999999.0000000
IA,Iowa,2020-03-15,11,17,0,0,0,85,0,0,0,18,,101,,.5705103,-999999.0000000,3.2011968,-999999.0000000
ID,Idaho,2020-03-15,11,2,0,0,0,149,0,0,0,5,,179,,.2797884,-999999.0000000,10.0164236,-999999.0000000
IL,Illinois,2020-03-15,11,40,1900,0,0,165,139,0,0,64,,513,,.5050576,-999999.0000000,4.0483526,-999999.0000000
IN,Indiana,2020-03-15,11,14,1300,0,0,648,2717,0,0,19,0,963,,.2822249,.0000000,14.3043475,-999999.0000000
KS,Kansas,2020-03-15,11,6,0,1,0,88,1157,0,0,8,1,143,,.2746014,.0343252,4.9084994,-999999.0000000
KY,Kentucky,2020-03-15,11,13,1200,1,0,143,4666,0,0,16,1,155,,.3581283,.0223830,3.4693676,-999999.0000000
LA,Louisiana,2020-03-15,11,51,0,0,0,160,0,0,0,90,2,246,,1.9359860,.0430219,5.2916950,-999999.0000000
MA,Massachusetts,2020-03-15,11,38,0,0,0,2785,1100,0,0,64,,4120,,.9209292,-999999.0000000,59.2848150,-999999.0000000
MD,Maryland,2020-03-15,11,23,666,0,0,0,0,0,0,31,,,,.5127628,-999999.0000000,-999999.0000000,-999999.0000000
ME,Maine,2020-03-15,11,3,0,0,0,93,0,0,0,3,,94,,.2231791,-999999.0000000,6.9929446,-999999.0000000
MI,Michigan,2020-03-15,11,1540,785,0,0,1727,799,0,0,2188,,2393,,21.9087947,-999999.0000000,23.9614926,-999999.0000000
MN,Minnesota,2020-03-15,11,88,8700,0,0,887,6723,0,0,128,,1515,,2.2696516,-999999.0000000,26.8634549,-999999.0000000
MO,Missouri,2020-03-15,11,4,0,0,0,92,0,0,0,5,0,188,,.0814674,.0000000,3.0631724,-999999.0000000
MS,Mississippi,2020-03-15,11,6,0,0,0,90,0,0,0,10,,94,,.3360047,-999999.0000000,3.1584440,-999999.0000000
MT,Montana,2020-03-15,11,5,0,0,0,97,0,0,0,7,,110,,.6549536,-999999.0000000,10.2921280,-999999.0000000
NC,North Carolina,2020-03-15,11,21,2000,0,0,158,15700,0,0,32,,259,,.3051082,-999999.0000000,2.4694692,-999999.0000000
ND,North Dakota,2020-03-15,11,1,0,0,0,50,0,0,0,1,0,74,,.1312229,.0000000,9.7104960,-999999.0000000
NE,Nebraska,2020-03-15,11,13,1200,0,0,76,7500,0,0,17,,97,,.8788218,-999999.0000000,5.0144540,-999999.0000000
NH,New Hampshire,2020-03-15,11,5,0,0,0,273,582,0,0,13,,405,,.9560855,-999999.0000000,29.7857412,-999999.0000000
NJ,New Jersey,2020-03-15,11,46,1050,1,0,143,3475,0,0,98,2,218,,1.1033315,.0225170,2.4543497,-999999.0000000
NM,New Mexico,2020-03-15,11,10,0,0,0,199,521,0,0,13,,495,,.6199838,-999999.0000000,23.6070753,-999999.0000000
NV,Nevada,2020-03-15,11,30,900,0,0,184,6033,0,0,45,1,213,,1.4609650,.0324659,6.9152342,-999999.0000000
NY,New York,2020-03-15,11,448,540,0,0,3135,2650,0,0,729,3,5272,,3.7473859,.0154213,27.1004368,-999999.0000000
OH,Ohio,2020-03-15,11,13,0,0,0,54,2600,0,0,36,,175,,.3079792,-999999.0000000,1.4971212,-999999.0000000
OK,Oklahoma,2020-03-15,11,3,0,0,0,39,0,0,0,9,,127,,.2274467,-999999.0000000,3.2095257,-999999.0000000
OR,Oregon,2020-03-15,11,23,475,0,0,283,444,0,0,36,,456,,.8535383,-999999.0000000,10.8114849,-999999.0000000
PA,Pennsylvania,2020-03-15,11,43,2050,0,0,248,12300,0,0,63,,268,,.4921110,-999999.0000000,2.0934247,-999999.0000000
RI,Rhode Island,2020-03-15,11,16,1500,0,0,221,513,0,0,20,,347,,1.8879306,-999999.0000000,32.7555951,-999999.0000000
SC,South Carolina,2020-03-15,11,11,450,0,0,113,2160,0,0,19,,173,,.3690242,-999999.0000000,3.3600623,-999999.0000000
SD,South Dakota,2020-03-15,11,9,0,0,0,186,0,0,0,9,,336,,1.0173411,-999999.0000000,37.9807361,-999999.0000000
TN,Tennessee,2020-03-15,11,31,0,0,0,161,0,0,0,39,,196,,.5707450,-999999.0000000,2.8683596,-999999.0000000
TX,Texas,2020-03-15,11,43,514,0,0,43,514,0,0,56,,56,,.1931309,-999999.0000000,.1931309,-999999.0000000
UT,Utah,2020-03-15,11,5,0,0,0,136,0,0,0,28,0,159,,.8733739,.0000000,4.9595160,-999999.0000000
VA,Virginia,2020-03-15,11,30,0,0,0,223,2130,0,0,45,1,6739,,.5272087,.0117157,78.9524339,-999999.0000000
VT,Vermont,2020-03-15,11,7,600,0,0,314,1107,0,0,12,,417,,1.9231108,-999999.0000000,66.8281011,-999999.0000000
WA,Washington,2020-03-15,11,918,285,24,9,16224,691,0,0,1282,57,20059,,16.8354303,.7485332,263.4180152,-999999.0000000
WI,Wisconsin,2020-03-15,11,22,0,0,0,160,1233,0,0,37,,350,,.6354731,-999999.0000000,6.0112317,-999999.0000000
WV,West Virginia,2020-03-15,11,0,0,0,0,24,2300,0,0,0,0,38,,.0000000,.0000000,2.1203618,-999999.0000000
WY,Wyoming,2020-03-15,11,2,0,0,0,2,0,0,0,3,,3,,.5183505,-999999.0000000,.5183505,-999999.0000000
AK,Alaska,2020-03-22,12,13,1200,0,0,628,375,0,0,22,0,968,0,3.0073338,.0000000,132.3226869,.0000000
AL,Alabama,2020-03-22,12,118,1866,0,0,124,342,0,0,138,0,1602,,2.8144971,.0000000,32.6726403,-999999.0000000
AR,Arkansas,2020-03-22,12,106,783,0,0,608,756,0,0,165,0,876,,5.4675139,.0000000,29.0275281,-999999.0000000
AZ,Arizona,2020-03-22,12,92,1214,1,0,211,151,102,410,152,2,434,145,2.0882801,.0274774,5.9625893,1.9921093
CA,California,2020-03-22,12,1027,461,19,280,11360,1683,0,0,1536,27,12840,,3.8874047,.0683333,32.4962734,-999999.0000000
CO,Colorado,2020-03-22,12,262,181,3,200,3202,861,44,0,475,5,4367,49,8.2483378,.0868246,75.8326133,.8508812
CT,Connecticut,2020-03-22,12,183,1563,4,0,2164,1491,0,0,223,5,3100,,6.2547559,.1402412,86.9495219,-999999.0000000
DC,Washington DC,2020-03-22,12,67,570,1,0,524,927,0,0,98,1,1055,,,,,-999999.0000000
DE,Delaware,2020-03-22,12,39,550,0,0,39,21,0,0,56,0,92,,5.7508801,.0000000,9.4478744,-999999.0000000
FL,Florida,2020-03-22,12,581,822,9,200,6682,1415,158,0,830,13,8820,185,3.8644667,.0605278,41.0657790,.8613570
GA,Georgia,2020-03-22,12,441,635,13,1200,2998,4896,0,0,600,23,4020,,5.6510888,.2166251,37.8622948,-999999.0000000
HI,Hawaii,2020-03-22,12,35,3400,0,0,1781,8380,0,0,48,,2571,,3.3901370,-999999.0000000,181.5842110,-999999.0000000
IA,Iowa,2020-03-22,12,51,200,0,0,1017,1096,0,0,90,,1305,,2.8525516,-999999.0000000,41.3619983,-999999.0000000
ID,Idaho,2020-03-22,12,29,1350,0,0,735,393,0,0,42,0,1217,,2.3502223,.0000000,68.1004888,-999999.0000000
IL,Illinois,2020-03-22,12,707,1667,6,0,5879,3463,0,0,1049,9,8320,,8.2782104,.0710237,65.6574931,-999999.0000000
IN,Indiana,2020-03-22,12,111,692,4,0,5820,798,1,0,201,6,7239,1,2.9856426,.0891237,107.5276963,.0148539
KS,Kansas,2020-03-22,12,49,716,1,0,373,323,0,0,64,2,481,,2.1968109,.0686503,16.5104070,-999999.0000000
KY,Kentucky,2020-03-22,12,40,207,1,0,615,330,0,0,99,3,1571,,2.2159187,.0671491,35.1637195,-999999.0000000
LA,Louisiana,2020-03-22,12,529,937,16,0,2600,1525,0,0,837,20,3498,,18.0046696,.4302191,75.2453217,-999999.0000000
MA,Massachusetts,2020-03-22,12,388,921,7,0,19119,586,61,0,547,11,24257,71,7.8710665,.1582847,349.0465433,1.0216558
MD,Maryland,2020-03-22,12,164,613,3,0,0,0,0,0,244,4,,,4.0359397,.0661629,-999999.0000000,-999999.0000000
ME,Maine,2020-03-22,12,70,2233,0,0,2243,2311,0,0,89,,2353,,6.6209794,-999999.0000000,175.0467932,-999999.0000000
MI,Michigan,2020-03-22,12,5295,243,23,0,9176,431,0,0,7822,36,12613,,78.3229398,.3604738,126.2959908,-999999.0000000
MN,Minnesota,2020-03-22,12,237,169,1,0,3342,276,0,0,349,1,4860,12,6.1883470,.0177317,86.1758356,.2127798
MO,Missouri,2020-03-22,12,69,1625,3,0,3340,3530,0,0,90,3,4642,,1.4664123,.0488804,75.6342885,-999999.0000000
MS,Mississippi,2020-03-22,12,134,2133,1,0,745,727,0,0,207,1,1321,33,6.9552969,.0336005,44.3862186,1.1088155
MT,Montana,2020-03-22,12,15,200,0,0,1058,990,0,0,31,,1177,,2.9005088,-999999.0000000,110.1257698,-999999.0000000
NC,North Carolina,2020-03-22,12,161,666,0,0,5116,3137,0,0,255,0,6438,,2.4313306,.0000000,61.3839477,-999999.0000000
ND,North Dakota,2020-03-22,12,27,2600,0,0,1046,1992,3,0,28,0,1246,3,3.6742417,.0000000,163.5037569,.3936688
NE,Nebraska,2020-03-22,12,24,84,0,0,300,294,0,0,48,0,404,,2.4813793,.0000000,20.8849426,-999999.0000000
NH,New Hampshire,2020-03-22,12,48,860,0,0,1304,377,0,0,65,,1981,,4.7804276,-999999.0000000,145.6927244,-999999.0000000
NJ,New Jersey,2020-03-22,12,1277,2676,21,2000,1474,930,0,0,1914,29,2241,,21.5487397,.3264961,25.2302642,-999999.0000000
NM,New Mexico,2020-03-22,12,47,370,0,0,3581,1699,0,0,57,,4779,,2.7183905,-999999.0000000,227.9155811,-999999.0000000
NV,Nevada,2020-03-22,12,90,200,5,0,2306,1153,0,0,154,7,2602,,4.9997468,.2272612,84.4762408,-999999.0000000
NY,New York,2020-03-22,12,9832,2094,44,0,42134,1243,1531,0,15168,114,61401,2354,77.9703007,.5860110,315.6285885,12.1006123
OH,Ohio,2020-03-22,12,234,1700,3,0,324,500,58,0,351,3,491,83,3.0027975,.0256649,4.2004945,.7100632
OK,Oklahoma,2020-03-22,12,49,1533,1,0,573,1369,10,0,67,2,736,11,1.6932143,.0505437,18.6000858,.2779904
OR,Oregon,2020-03-22,12,84,265,3,0,1750,518,0,0,161,4,3025,43,3.8172129,.0948376,71.7209252,1.0195041
PA,Pennsylvania,2020-03-22,12,324,653,2,0,3885,1466,0,0,479,2,5443,,3.7416061,.0156226,42.5168308,-999999.0000000
RI,Rhode Island,2020-03-22,12,69,331,0,0,1029,365,0,0,113,,1424,,10.6668076,-999999.0000000,134.4206555,-999999.0000000
SC,South Carolina,2020-03-22,12,139,1163,1,0,1284,1036,0,0,195,3,1661,,3.7873535,.0582670,32.2604829,-999999.0000000
SD,South Dakota,2020-03-22,12,5,-44,1,0,514,176,0,0,21,1,761,,2.3737960,.1130379,86.0218457,-999999.0000000
TN,Tennessee,2020-03-22,12,339,993,0,0,3481,2062,0,0,505,,3777,,7.3904162,-999999.0000000,55.2744596,-999999.0000000
TX,Texas,2020-03-22,12,253,488,5,0,6471,14948,0,0,334,5,8756,,1.1518877,.0172438,30.1973925,-999999.0000000
UT,Utah,2020-03-22,12,130,2500,0,0,2423,1681,0,0,181,1,3689,,5.6457383,.0311919,115.0670096,-999999.0000000
VA,Virginia,2020-03-22,12,122,306,2,0,2308,934,25,0,219,3,9895,32,2.5657491,.0351472,115.9273385,.3749040
VT,Vermont,2020-03-22,12,44,528,2,0,792,152,0,0,76,2,1280,,12.1797019,.3205185,205.1318212,-999999.0000000
WA,Washington,2020-03-22,12,1791,95,60,150,27390,68,0,0,3151,126,47738,,41.3794389,1.6546523,626.9030963,-999999.0000000
WI,Wisconsin,2020-03-22,12,292,1227,4,0,4751,2869,0,0,425,4,6655,,7.2993528,.0686998,114.2992776,-999999.0000000
WV,West Virginia,2020-03-22,12,11,0,0,0,315,1212,1,0,12,0,397,1,.6695879,.0000000,22.1522007,.0557990
WY,Wyoming,2020-03-22,12,21,950,0,0,459,22850,0,0,24,,462,,4.1468038,-999999.0000000,79.8259725,-999999.0000000
AK,Alaska,2020-03-29,13,71,446,2,0,2149,242,5,0,102,2,3334,6,13.9430930,.2733940,455.7477667,.8201819
AL,Alabama,2020-03-29,13,572,384,3,0,4728,3712,0,0,806,4,4990,,16.4382947,.0815796,101.7705838,-999999.0000000
AR,Arkansas,2020-03-29,13,286,169,5,0,2657,337,0,0,426,6,3453,,14.1161267,.1988187,114.4201536,-999999.0000000
AS,American Samoa,2020-03-29,13,0,0,0,0,0,0,0,0,,0,0,,-999999.0000000,,,-999999.0000000
AZ,Arizona,2020-03-29,13,769,735,14,1300,7984,3683,258,152,919,17,13872,427,12.6258515,.2335576,190.5830382,5.8664185
CA,California,2020-03-29,13,3364,227,77,305,12664,11,0,0,5708,123,26257,,14.4461626,.3112961,66.4528543,-999999.0000000
CO,Colorado,2020-03-29,13,1371,423,27,800,8969,180,195,343,2061,44,14191,274,35.7891037,.7640566,246.4256045,4.7579886
CT,Connecticut,2020-03-29,13,1330,626,29,625,7900,265,0,0,1993,34,11900,,55.9001281,.9536399,333.7739711,-999999.0000000
DC,Washington DC,2020-03-29,13,227,238,3,200,1932,268,0,0,342,5,2811,,,,,-999999.0000000
DE,Delaware,2020-03-29,13,169,333,9,0,169,333,0,0,232,10,268,,23.8250747,1.0269429,27.5220690,-999999.0000000
FL,Florida,2020-03-29,13,3105,434,42,366,31892,377,368,132,4246,56,43316,594,19.7693081,.2607351,201.6786033,2.7656545
GA,Georgia,2020-03-29,13,1859,321,55,323,7987,166,617,0,2651,80,12564,666,24.9683939,.7534785,118.3337991,6.2727085
GU,Guam,2020-03-29,13,40,233,1,0,231,138,0,0,56,1,390,,,,,-999999.0000000
HI,Hawaii,2020-03-29,13,83,137,0,0,3988,123,8,0,151,,6955,12,10.6648059,-999999.0000000,491.2167202,.8475342
IA,Iowa,2020-03-29,13,230,350,3,0,3556,249,61,0,336,4,5349,68,10.6495260,.1267801,169.5366505,2.1552612
ID,Idaho,2020-03-29,13,199,586,4,0,2661,262,25,0,261,5,4282,36,14.6049528,.2797884,239.6107584,2.0144763
IL,Illinois,2020-03-29,13,2738,287,41,583,19250,227,0,0,4596,65,27762,,36.2694517,.5129492,219.0845341,-999999.0000000
IN,Indiana,2020-03-29,13,1106,896,27,575,12644,117,-1,-200,1514,32,20572,,22.4888703,.4753262,305.5753237,-999999.0000000
KS,Kansas,2020-03-29,13,206,320,3,200,3460,827,27,0,319,6,4513,55,10.9497294,.2059510,154.9094948,1.8878844
KY,Kentucky,2020-03-29,13,248,520,6,500,4355,608,0,0,394,9,5541,,8.8189086,.2014472,124.0242963,-999999.0000000
LA,Louisiana,2020-03-29,13,2735,417,121,656,22401,761,0,0,3540,151,27871,,76.1487818,3.2481543,599.5318356,-999999.0000000
MA,Massachusetts,2020-03-29,13,3732,861,65,828,27855,45,289,373,4856,99,52483,399,69.8755004,1.4245623,755.2050844,5.7414178
MD,Maryland,2020-03-29,13,802,389,14,366,10311,0,226,0,1239,24,11619,277,20.4939726,.3969777,192.1868177,4.5817840
ME,Maine,2020-03-29,13,138,97,1,0,1268,-43,0,0,253,3,3647,,18.8214359,.2231791,271.3113705,-999999.0000000
MI,Michigan,2020-03-29,13,7842,48,260,1030,19658,114,0,0,15784,351,33201,,158.0477221,3.5146193,332.4469350,-999999.0000000
MN,Minnesota,2020-03-29,13,360,51,4,300,13803,313,57,0,725,9,19291,75,12.8554487,.1595849,342.0613260,1.3298740
MO,Missouri,2020-03-29,13,765,1008,7,133,11434,242,0,0,838,10,17025,,13.6539280,.1629347,277.3963295,-999999.0000000
MP,Northern Mariana Islands,2020-03-29,13,2,0,0,0,2,0,0,0,2,,2,,,-999999.0000000,,-999999.0000000
MS,Mississippi,2020-03-29,13,523,290,12,1100,2388,220,219,0,758,14,3318,235,25.4691549,.4704066,111.4863537,7.8961100
MT,Montana,2020-03-29,13,109,626,1,0,2219,109,7,0,154,1,4297,8,14.4089792,.0935648,402.0479463,.7485184
NC,North Carolina,2020-03-29,13,751,366,4,0,12251,139,0,0,1040,4,18945,,9.9160152,.0381385,180.6335647,-999999.0000000
ND,North Dakota,2020-03-29,13,52,92,1,0,1956,86,13,333,97,1,3574,17,12.7286231,.1312229,468.9907120,2.2307896
NE,Nebraska,2020-03-29,13,58,141,2,0,1606,435,0,0,108,2,2076,,5.5831035,.1033908,107.3196554,-999999.0000000
NH,New Hampshire,2020-03-29,13,132,175,2,0,3377,158,30,0,214,2,5477,33,15.7386386,.1470901,402.8061845,2.4269863
NJ,New Jersey,2020-03-29,13,9797,667,169,704,28889,1859,0,0,13386,217,35602,,150.7060759,2.4430912,400.8245714,-999999.0000000
NM,New Mexico,2020-03-29,13,134,185,1,0,5559,55,0,0,237,2,11006,,11.3027815,.0953821,524.8878187,-999999.0000000
NV,Nevada,2020-03-29,13,497,452,20,300,6014,160,0,0,738,28,9150,,23.9598254,.9090449,297.0628760,-999999.0000000
NY,New York,2020-03-29,13,41962,326,684,1454,110497,162,8923,482,59513,965,172360,12695,305.9234245,4.9605314,886.0074513,65.2579751
OH,Ohio,2020-03-29,13,1159,395,22,633,20031,6082,286,393,1653,29,20665,403,14.1413796,.2480944,176.7886321,3.4476564
OK,Oklahoma,2020-03-29,13,324,561,14,1300,944,64,116,1060,429,16,1634,140,10.8416261,.4043497,41.2942122,3.5380598
OR,Oregon,2020-03-29,13,365,334,10,233,8055,360,117,0,548,13,11426,129,12.9927494,.3082222,270.9035675,3.0585122
PA,Pennsylvania,2020-03-29,13,2380,634,32,1500,23868,514,316,0,3394,38,33455,353,26.5115054,.2968289,261.3265798,2.7573840
PR,Puerto Rico,2020-03-29,13,79,393,3,0,675,350,0,0,127,5,968,,,,,-999999.0000000
RI,Rhode Island,2020-03-29,13,224,224,0,0,1558,51,0,0,417,3,3163,,39.3633521,.2831896,298.5762172,-999999.0000000
SC,South Carolina,2020-03-29,13,387,178,12,1100,1540,19,102,0,774,16,3789,102,15.0328801,.3107572,73.5911919,1.9810772
SD,South Dakota,2020-03-29,13,54,980,0,-100,1955,280,0,0,90,1,3217,,10.1734115,.1130379,363.6429404,-999999.0000000
TN,Tennessee,2020-03-29,13,1002,195,6,0,14695,322,118,0,1537,7,20574,133,22.4932074,.1024414,301.0899474,1.9463868
TX,Texas,2020-03-29,13,1748,590,22,340,18738,189,0,0,2552,34,25760,,8.8012501,.1172580,88.8402046,-999999.0000000
UT,Utah,2020-03-29,13,466,258,2,0,8752,261,0,0,719,2,13993,,22.4269937,.0623838,436.4686000,-999999.0000000
VA,Virginia,2020-03-29,13,587,381,15,650,7736,235,74,196,890,22,18322,112,10.4270168,.2577465,214.6559571,1.3121639
VI,Virgin Islands,2020-03-29,13,16,220,0,0,122,2340,0,0,23,,146,,,-999999.0000000,,-999999.0000000
VT,Vermont,2020-03-29,13,182,313,10,400,2294,189,18,0,256,12,3739,18,41.0263642,1.9231108,599.2092809,2.8846662
WA,Washington,2020-03-29,13,2714,51,109,81,30388,10,0,0,5921,237,78081,,77.7555246,3.1123221,1025.3722541,-999999.0000000
WI,Wisconsin,2020-03-29,13,819,180,9,125,11423,140,0,0,1276,13,17826,,21.9152334,.2232743,306.1606194,-999999.0000000
WV,West Virginia,2020-03-29,13,85,672,0,0,2086,562,0,-100,113,0,2818,1,6.3052863,.0000000,157.2415656,.0557990
WY,Wyoming,2020-03-29,13,59,180,0,0,1096,138,14,0,86,0,1640,15,14.8593802,.0000000,283.3649239,2.5917524
AK,Alaska,2020-04-05,14,86,21,3,50,3119,45,11,120,185,6,6284,20,25.2889433,.8201819,859.0038890,2.7339398
AL,Alabama,2020-04-05,14,884,54,40,1233,5973,26,212,0,1796,45,13078,231,36.6292522,.9177708,266.7245882,4.7112234
AR,Arkansas,2020-04-05,14,339,18,9,80,7028,164,106,0,830,16,11242,130,27.5032515,.5301832,372.5199440,4.3077382
AS,American Samoa,2020-04-05,14,0,0,0,0,3,0,0,0,0,0,3,,,,,-999999.0000000
AZ,Arizona,2020-04-05,14,1146,49,37,164,18832,135,325,25,2269,64,27410,760,31.1730762,.8792758,376.5773556,10.4414006
CA,California,2020-04-05,14,7383,119,175,127,88508,598,0,0,13438,319,116533,,34.0097291,.8073451,294.9289894,-999999.0000000
CO,Colorado,2020-04-05,14,2439,77,80,196,11107,23,584,199,4565,126,25579,875,79.2708678,2.1879801,444.1773334,15.1943065
CT,Connecticut,2020-04-05,14,3752,182,132,355,11829,49,0,0,5675,189,23270,,159.1737215,5.3011160,652.6823787,-999999.0000000
DC,Washington DC,2020-04-05,14,598,163,17,466,3923,103,0,0,998,22,6834,,,,,-999999.0000000
DE,Delaware,2020-04-05,14,379,124,8,-11,6217,3578,0,0,673,19,6994,,69.1132554,1.9511915,718.2438455,-999999.0000000
FL,Florida,2020-04-05,14,7348,136,137,226,62938,97,936,154,12151,218,113404,1572,56.5748617,1.0150045,528.0072104,7.3192069
GA,Georgia,2020-04-05,14,3794,104,132,140,15243,90,622,0,6647,211,27832,1283,62.6046452,1.9872996,262.1351716,12.0839115
GU,Guam,2020-04-05,14,38,-5,3,200,211,-8,0,0,112,4,605,,,,,-999999.0000000
HI,Hawaii,2020-04-05,14,199,139,3,0,6691,67,10,25,351,4,13248,19,24.7903765,.2825114,935.6778014,1.3419292
IA,Iowa,2020-04-05,14,488,112,11,266,5567,56,92,50,868,22,10841,165,27.5112755,.6972904,343.6056886,5.2296779
ID,Idaho,2020-04-05,14,783,293,6,50,5298,99,37,48,1077,10,10261,66,60.2664145,.5595767,574.1816890,3.6932065
IL,Illinois,2020-04-05,14,6866,150,196,378,28090,45,0,0,11256,274,58983,,88.8270123,2.1622780,465.4658553,-999999.0000000
IN,Indiana,2020-04-05,14,2721,146,85,214,16322,29,0,-100,4411,127,37250,,65.5207443,1.8864508,553.3093917,-999999.0000000
KS,Kansas,2020-04-05,14,437,112,16,433,3646,5,145,437,747,22,8223,183,25.6409024,.7551538,282.2558777,6.2815062
KY,Kentucky,2020-04-05,14,529,113,29,383,10449,139,0,0,917,40,16663,,20.5252264,.8953207,372.9682096,-999999.0000000
LA,Louisiana,2020-04-05,14,9181,235,272,124,33337,48,0,0,13010,477,60325,,279.8575286,10.2607257,1297.6483793,-999999.0000000
MA,Massachusetts,2020-04-05,14,7479,100,232,256,36875,32,1020,252,12402,370,90987,1632,178.4588049,5.3241217,1309.2590938,23.4836937
MD,Maryland,2020-04-05,14,2133,165,84,500,16093,56,595,163,3609,122,29805,936,59.6955181,2.0179699,492.9966522,15.4821294
ME,Maine,2020-04-05,14,245,77,9,800,2939,131,83,0,470,10,6558,86,34.9647228,.7439303,487.8694730,6.3978003
MI,Michigan,2020-04-05,14,8716,11,747,187,34019,73,0,0,24458,1150,68612,,244.9018745,11.5151343,687.0229543,-999999.0000000
MN,Minnesota,2020-04-05,14,471,30,19,375,9763,-29,123,115,1217,29,29307,202,21.5794222,.5142179,519.6615666,3.5817940
MO,Missouri,2020-04-05,14,1453,89,14,100,13988,22,0,0,2367,34,30851,,38.5666439,.5539780,502.6698480,-999999.0000000
MP,Northern Mariana Islands,2020-04-05,14,6,200,1,0,19,850,0,0,8,1,21,,,,,-999999.0000000
MS,Mississippi,2020-04-05,14,792,51,22,83,3365,40,217,0,1638,43,7218,475,55.0375670,1.4448201,242.5281799,15.9602224
MT,Montana,2020-04-05,14,136,24,4,300,2792,25,17,142,286,6,6603,24,26.7595328,.5613888,617.8083755,2.2455552
NC,North Carolina,2020-04-05,14,1467,95,20,400,21246,73,0,0,2585,31,40045,,24.6470185,.2955735,381.8142570,-999999.0000000
ND,North Dakota,2020-04-05,14,106,103,2,100,3268,67,14,7,207,3,6760,31,27.1631442,.3936688,887.0669316,4.0679105
